,ACCIDENT_YEAR,BICYCLE_ACCIDENT,COLLISION_DATE,COLLISION_SEVERITY,COLLISION_TIME,COUNT_BICYCLIST_INJURED,COUNT_BICYCLIST_KILLED,DAY_OF_WEEK,DIRECTION,DISTANCE,INTERSECTION,LATITUDE,LONGITUDE,NUMBER_INJURED,NUMBER_KILLED,PRIMARY_RD,PROC_DATE,SECONDARY_RD,WEATHER_1,MONTH,DAY
998,2018,Y,20180921,3,830,1,0,5,S,47.0,N,37.74399,-122.421958,1,0,29TH ST,20181019,TIFFANY AV,A,09,21
999,2018,Y,20180917,3,748,1,0,1,,0.0,Y,37.781582,-122.49452,1,0,CLEMENT ST,20181018,34TH AV,B,09,17
1000,2018,Y,20180911,3,2020,1,0,2,,0.0,Y,37.779554,-122.431974,1,0,FILLMORE ST,20181019,GOLDEN GATE AV,A,09,11
1001,2018,Y,20180930,4,2249,1,0,7,,0.0,Y,37.772019,-122.389498,1,0,3RD ST,20181019,CHINA BASIN ST,A,09,30
1002,2018,Y,20180927,4,1445,1,0,4,S,90.0,N,37.791505,-122.420873,1,0,POLK ST,20181023,SACRAMENTO ST,A,09,27
1003,2018,Y,20180923,4,1800,1,0,7,,0.0,Y,37.786315,-122.416466,1,0,GEARY ST,20181019,HYDE ST,A,09,23
1004,2018,Y,20180913,3,1750,1,0,4,N,20.0,N,37.752658,-122.390688,1,0,INDIANA ST,20181019,25TH ST,A,09,13
1005,2018,Y,20180912,4,1002,0,0,3,,0.0,Y,37.805195,-122.417165,1,0,COLUMBUS AV,20181031,BAY ST,A,09,12
1006,2018,Y,20180901,0,2006,0,0,6,,0.0,Y,37.788142,-122.390283,0,0,HARRISON ST,20181022,MAIN ST,A,09,01
1007,2018,Y,20180907,3,859,1,0,5,,0.0,Y,37.787085,-122.388007,1,0,THE EMBARCADERO,20181025,BRYANT ST,A,09,07
1008,2018,Y,20180908,4,1058,1,0,6,,610.0,N,37.793382,-122.423028,1,0,VAN NESS AV,20181115,NORTH POINT,A,09,08
1009,2018,Y,20180916,4,1125,1,0,7,,0.0,Y,37.79423,-122.403061,1,0,MONTGOMERY ST,20181109,COMMERCIAL,-,09,16
1010,2018,Y,20180413,4,1820,1,0,5,,0.0,Y,37.764781,-122.424053,2,0,GUERRERO ST,20181029,16TH ST,A,04,13
1011,2018,Y,20180906,3,2155,1,0,4,E,8.0,N,37.781062,-122.447518,1,0,OFARRELL ST,20181030,MASONIC AV,A,09,06
1012,2018,Y,20180905,2,1230,1,0,3,,0.0,Y,37.768149,-122.422214,1,0,14TH ST,20181030,VALENCIA ST,A,09,05
1013,2018,Y,20180910,3,1820,1,0,1,,0.0,Y,37.775071,-122.511238,1,0,POINT LOBOS AV,20181030,BALBOA ST,A,09,10
1014,2018,Y,20180901,3,1718,1,0,6,,0.0,Y,37.77281,-122.412837,1,0,FOLSOM ST,20181023,10TH ST,A,09,01
1015,2018,Y,20180920,3,934,1,0,4,,0.0,Y,37.759605,-122.482261,1,0,24TH AV,20190214,KIRKHAM ST,A,09,20
1016,2018,Y,20180910,4,855,1,0,1,W,10.0,N,37.776389,-122.482321,1,0,BALBOA ST,20181030,23RD AV,A,09,10
1017,2018,Y,20180908,4,1844,1,0,6,,0.0,Y,37.77884,-122.430136,1,0,MCALLISTER ST,20181023,WEBSTER ST,A,09,08
1018,2018,Y,20180906,4,1909,1,0,4,S,30.0,N,37.784628,-122.431305,1,0,WEBSTER ST,20181023,GEARY BL,A,09,06
1019,2018,Y,20180914,4,1745,1,0,5,,0.0,Y,37.736117,-122.394658,1,0,PALOU AV,20181113,PHELPS ST,-,09,14
1020,2018,Y,20180831,2,1913,1,0,5,N,59.0,N,37.7617,-122.421577,1,0,VALENCIA ST,20181102,18TH ST,A,08,31
1021,2018,Y,20181021,4,1400,0,0,7,,0.0,Y,37.805415,-122.415271,1,0,TAYLOR ST,20181207,BAY ST,A,10,21
1022,2018,Y,20180905,3,810,1,0,3,,0.0,Y,37.787654,-122.403449,2,0,MARKET ST,20181207,3RD ST,B,09,05
1023,2018,Y,20181030,0,1520,0,0,2,N,50.0,N,37.788293,-122.408428,0,0,POWELL ST,20181205,POST ST,A,10,30
1024,2018,Y,20181018,4,855,1,0,4,,0.0,Y,37.77179,-122.423649,1,0,MARKET ST,20190103,OCTAVIA ST,A,10,18
1025,2018,Y,20181003,3,1613,1,0,3,,0.0,Y,37.779671,-122.423551,1,0,GOUGH ST,20181210,MCALLISTER ST,A,10,03
1026,2018,Y,20181018,3,1335,1,0,4,,0.0,Y,37.709934,-122.419382,1,0,SANTOS ST,20181207,VELASCO AV,A,10,18
1027,2018,Y,20181031,2,1727,1,0,3,N,25.0,N,37.787963,-122.403481,1,0,KEARNY ST,20190103,GEARY ST,A,10,31
1028,2018,Y,20180906,0,741,0,0,4,,0.0,Y,37.756069,-122.408513,0,0,YORK ST,20181205,22ND ST,A,09,06
1029,2018,Y,20181018,3,1125,0,0,4,,0.0,Y,37.790978,-122.402402,1,0,MONTGOMERY ST,20181207,BUSH ST,A,10,18
1030,2018,Y,20181020,3,1218,1,0,6,W,200.0,N,37.771001,-122.456923,1,0,JOHN F KENNEDY DR,20181207,CONSERVATORY DR E,A,10,20
1031,2018,Y,20181018,2,1200,1,0,4,,0.0,Y,37.78008,-122.420168,1,0,MASON ST NORTH,20181224,YACHT ROAD,A,10,18
1032,2018,Y,20181016,4,1841,1,0,2,,0.0,Y,37.740335,-122.495922,1,0,38TH AV,20190104,ULLOA ST,A,10,16
